sector,school_name,suburb,postcode,phone,public_email,contact_form_url,website_url,source_directory_url,last_verified_date,lat,lon,email_validation_status,email_validation_reason
independent,Al Amanah College - Liverpool,Liverpool,2170,02 9822 8022,admin@alamanah.nsw.edu.au,https://www.alamanah.nsw.edu.au/,https://www.alamanah.nsw.edu.au/,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,-33.9522,150.8995,valid,ok
independent,Al Hikma College,Lakemba,2195,02 9703 3017,admin@alhikma.nsw.edu.au,http://www.alhikma.nsw.edu.au,http://www.alhikma.nsw.edu.au,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,-33.922,151.0716,valid,ok
independent,Al Noori Muslim School - Primary Campus,Greenacre,2190,02 9790 5726,,https://alnoori.nsw.edu.au/,http://www.alnoori.nsw.edu.au,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,-33.9003,151.0556,invalid,invalid_format
independent,Al Noori Muslim School - Senior Campus,Greenacre,2190,02 9790 5726,,https://alnoori.nsw.edu.au/,https://www.alnoori.nsw.edu.au,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,-33.9003,151.0556,invalid,invalid_format
independent,Al Sadiq College,Greenacre,2190,+61 2 9750 6011,,,https://www.alsadiq.nsw.edu.au,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,-33.9003,151.0556,invalid,invalid_format
independent,Al Sadiq College - Primary Campus,Yagoona,2199,+61 2 9796 4240,,,https://www.alsadiq.nsw.edu.au,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,-33.9049,151.02,invalid,invalid_format
independent,Al Zahra College,Arncliffe,2205,02 9599 0161,info@azc.nsw.edu.au,https://www.azc.nsw.edu.au/,https://www.azc.nsw.edu.au,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,-33.9313,151.1522,valid,ok
independent,Al-Faisal College,Auburn,2144,+61 2 8877 2000,alfaisalcollege@afc.nsw.edu.au,https://www.afc.nsw.edu.au/contact-us,https://www.afc.nsw.edu.au,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,-33.85,151.0333,valid,ok
independent,Al-Faisal College - Campbelltown Campus,Minto,2566,02 9603 5866,alfaisalcollege@afc.nsw.edu.au,https://www.afc.nsw.edu.au/contact-us,https://www.afc.nsw.edu.au,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,-34.0224,150.8296,valid,ok
independent,Al-Faisal College - Lakemba,Lakemba,2195,,alfaisalcollege@afc.nsw.edu.au,http://afc.nsw.edu.au/contact-us,http://afc.nsw.edu.au/,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,-33.922,151.0716,valid,ok
independent,Al-Faisal College - Liverpool Campus,Austral,2179,+61 2 9606 0355,alfaisalcollege@afc.nsw.edu.au,https://www.afc.nsw.edu.au/contact-us,https://www.afc.nsw.edu.au,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,-33.9698,150.7967,valid,ok
government,Albert Park Public School,East Lismore,2480,6621 3259,,,https://albertpk-p.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-28.7493,153.2724,invalid,invalid_format
government,Albion Park High School,Albion Park,2527,4257 1744,,,https://albionpk-h.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-34.5713,150.7757,invalid,invalid_format
government,Albion Park Public School,Albion Park,2527,4256 1244,,,https://albionpk-p.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-34.5713,150.7757,invalid,invalid_format
government,Albion Park Rail Public School,Albion Park Rail,2527,4256 1287,,,https://albionpkr-p.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-34.5713,150.7757,invalid,invalid_format
government,Albury High School,Albury,2640,6021 3488,,,https://albury-h.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-36.0865,146.9091,invalid,invalid_format
government,Albury North Public School,Albury,2640,6025 1730,,,https://alburynth-p.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-36.0865,146.9091,invalid,invalid_format
government,Albury Public School,Albury,2640,02 6021 3849,,,https://albury-p.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-36.0865,146.9091,invalid,invalid_format
government,Albury West Public School,Albury,2640,6021 2288,,,https://alburywest-p.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-36.0865,146.9091,invalid,invalid_format
government,Aldavilla Public School,Yarravel,2440,6563 1141,,,https://aldavilla-p.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-31.1332,152.7514,invalid,invalid_format
independent,Alesco Secondary College,Cooks Hill,2300,+61 2 4925 4200,,,https://atwea.edu.au/high-school-at-alesco/,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,-32.9295,151.7801,invalid,invalid_format
independent,Alesco Secondary College - Abermain Campus,Abermain,2326,+61 2 4925 4200,,,https://atwea.edu.au/high-school-at-alesco/,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,-32.8276,151.4082,invalid,invalid_format
independent,Alesco Secondary College - Charlestown Campus,Charlestown,2290,+61 2 4925 4200,,,https://atwea.edu.au/high-school-at-alesco/,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,-32.9937,151.722,invalid,invalid_format
independent,Alesco Secondary College - Coast Campus,Tuncurry,2324,+61 2 4925 4200,,,https://atwea.edu.au/high-school-at-alesco/,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,-32.6478,151.7616,invalid,invalid_format
independent,Alesco Secondary College - Northlakes Campus,Argenton,2284,+61 2 4925 4200,,,https://atwea.edu.au/high-school-at-alesco/,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,-32.9806,151.6184,invalid,invalid_format
independent,Alesco Secondary College - Raymond Terrace Campus,Raymond Terrace,2324,+61 2 4925 4200,,,https://atwea.edu.au/high-school-at-alesco/,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,-32.6478,151.7616,invalid,invalid_format
independent,Alesco Secondary College - Tomaree Campus,Nelson Bay,2315,+61 2 4925 4200,,,https://atwea.edu.au/high-school-at-alesco/,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,-32.7281,152.1496,invalid,invalid_format
independent,Alesco Secondary College - Woodberry Campus,Woodberry,2322,+61 2 4925 4200,,,https://atwea.edu.au/high-school-at-alesco/,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,-32.7931,151.6769,invalid,invalid_format
government,Alexandria Park Community School,Alexandria,2015,9698 1967,,,https://alexparkcs-c.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-33.9115,151.2004,invalid,invalid_format
government,Alfords Point Public School,Alfords Point,2234,9543 0185,,,https://alfordspt-p.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-34.0341,151.0119,invalid,invalid_format
catholic,All Hallows Catholic Primary School,Five Dock,2046,(02) 9713 4469,info@ahpsfivedock.catholic.edu.au,,https://ahpsfivedock.syd.catholic.edu.au,https://www.csnsw.catholic.edu.au/school-finder,2026-02-19,-33.8582,151.1309,valid,ok
catholic,All Hallows Catholic Primary School Gulgong,Gulgong,2852,(02) 6374 1582,allhallowsgulgong@bth.catholic.edu.au,,https://www.allhallowsgulgong.catholic.edu.au,https://www.csnsw.catholic.edu.au/school-finder,2026-02-19,-32.3818,149.2762,valid,ok
catholic,All Saints Catholic College,Liverpool,2170,(02) 9602 4555,info@ascc.catholic.edu.au,,https://ascc.syd.catholic.edu.au,https://www.csnsw.catholic.edu.au/school-finder,2026-02-19,-33.9522,150.8995,valid,ok
catholic,"All Saints Catholic College, Casula Campus",Casula,2170,(02) 9602 4555,info@ascc.catholic.edu.au,,https://ascc.syd.catholic.edu.au,https://www.csnsw.catholic.edu.au/school-finder,2026-02-19,-33.9522,150.8995,valid,ok
catholic,All Saints College,Maitland,2320,(02) 4933 6177,admin@maitlandsm.catholic.edu.au,,https://maitlandasc.catholic.edu.au,https://www.csnsw.catholic.edu.au/school-finder,2026-02-19,-32.7288,151.5345,valid,ok
catholic,All Saints College (St Peter's Campus),Maitland,2320,(02) 4933 6177,admin@maitlandsp.catholic.edu.au,,https://maitlandasc.catholic.edu.au,https://www.csnsw.catholic.edu.au/school-finder,2026-02-19,-32.7288,151.5345,valid,ok
independent,All Saints Grammar,Belmore,2192,+61 2 9704 6400,admin@allsaints.nsw.edu.au,https://www.allsaints.nsw.edu.au,https://www.allsaints.nsw.edu.au,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,-33.919,151.0894,valid,ok
independent,All Saints Grammar Junior School,Belmore,2192,+61 2 9704 6400,admin@allsaints.nsw.edu.au,https://www.allsaints.nsw.edu.au,https://www.allsaints.nsw.edu.au,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,-33.919,151.0894,valid,ok
catholic,All Saints Primary School,Tumbarumba,2653,(02) 6948 2395,info@asww.catholic.edu.au,,https://web.asww.catholic.edu.au,https://www.csnsw.catholic.edu.au/school-finder,2026-02-19,-35.7781,148.0117,valid,ok
government,Allambie Heights Public School,Allambie Heights,2100,9451 5440,,,https://allambieht-p.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-33.7666,151.2498,invalid,invalid_format
independent,Allegra School Coffs Harbour,Coffs Harbour,2450,+61 2 6651 6898,,,https://www.allegraschool.nsw.edu.au,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,-30.1574,153.0958,invalid,invalid_format
government,Alma Public School,Broken Hill,2880,08 8088 2181,,,https://alma-p.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-31.8333,141.5102,invalid,invalid_format
independent,Alpha Omega Senior College,Auburn,2144,+61 2 9199 3900,theregistrar@aosc.nsw.edu.au,https://www.aosc.nsw.edu.au/contact-us,https://www.aosc.nsw.edu.au/,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,-33.85,151.0333,valid,ok
independent,Alpha Omega Senior College - Queen Street Campus,Auburn,2144,+61 2 9199 3900,,,https://www.aosc.nsw.edu.au/enrol/,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,-33.85,151.0333,invalid,invalid_format
government,Alstonville High School,Alstonville,2477,6628 5222,,,https://alstonvill-h.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-28.8902,153.4389,invalid,invalid_format
government,Alstonville Public School,Alstonville,2477,02 6628 0775,,,https://alstonvill-p.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-28.8902,153.4389,invalid,invalid_format
government,Ambarvale High School,Rosemeadow,2560,4627 1800,,,https://ambarvale-h.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-34.05,150.8333,invalid,invalid_format
government,Ambarvale Public School,Ambarvale,2560,4626 1485,,,https://ambarvale-p.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-34.05,150.8333,invalid,invalid_format
independent,Amity College - Auburn Campus,Auburn,2144,+61 2 8775 7600,,,https://www.amity.nsw.edu.au,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,-33.85,151.0333,invalid,invalid_format
independent,Amity College - Illawarra Campus,Shellharbour,2529,+61 2 4296 6000,,,https://www.amity.nsw.edu.au/,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,-34.5814,150.8435,invalid,invalid_format
independent,Amity College - Leppington Campus,Leppington,2179,+61 2 9765 2300,,,https://www.amity.nsw.edu.au/,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,-33.9698,150.7967,invalid,invalid_format
independent,Amity College - Prestons Campus,Prestons,2170,+61 2 8784 3111,,,https://www.amity.nsw.edu.au,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,-33.9522,150.8995,invalid,invalid_format
government,Anna Bay Public School,Anna Bay,2316,4982 1187,,,https://annabay-p.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-32.7858,152.0896,invalid,invalid_format
government,Annandale North Public School,Annandale,2038,9660 3972,,,https://annandalen-p.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-33.8833,151.1667,invalid,invalid_format
government,Annandale Public School,Annandale,2038,9516 3711,,,https://annandale-p.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-33.8833,151.1667,invalid,invalid_format
government,Annangrove Public School,Annangrove,2156,9679 1303,,,https://annangrove-p.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-33.7,151.0,invalid,invalid_format
government,Anson Street School,Orange,2800,6362 4563,,,https://ansonst-s.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-33.2547,149.156,invalid,invalid_format
government,Anzac Park Public School,Cammeray,2062,9922 3288,,,https://anzacpark-p.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-33.8213,151.2161,invalid,invalid_format
government,Appin Public School,Appin,2560,4631 1220,,,https://appin-p.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-34.05,150.8333,invalid,invalid_format
catholic,Aquinas Catholic College,Menai,2234,(02) 9543 0188,info@aquinasmenai.catholic.edu.au,,https://aquinasmenai.syd.catholic.edu.au,https://www.csnsw.catholic.edu.au/school-finder,2026-02-19,-34.0341,151.0119,valid,ok
government,Arcadia Public School,Arcadia,2159,9653 1207,,,https://arcadia-p.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-33.6155,151.0914,invalid,invalid_format
government,Arcadia Vale Public School,Arcadia Vale,2283,4975 1181,,,https://arcadiaval-p.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-33.0423,151.6116,invalid,invalid_format
independent,Arden Anglican School,Beecroft,2119,+61 2 9484 1146,contact@arden.nsw.edu.au,https://www.arden.nsw.edu.au/,https://www.arden.nsw.edu.au,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,-33.7587,151.0723,valid,ok
independent,Arden Anglican School - Epping Campus,Epping,2121,+61 2 9869 2644,contact@arden.nsw.edu.au,https://www.arden.nsw.edu.au/,https://www.arden.nsw.edu.au,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,-33.7594,151.0925,valid,ok
government,Ardlethan Central School,Ardlethan,2665,6978 2046,,,https://ardlethan-c.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-34.3493,147.2218,invalid,invalid_format
government,Argenton Public School,Argenton,2284,4958 1805,,,https://argenton-p.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-32.9806,151.6184,invalid,invalid_format
government,Ariah Park Central School,Ariah Park,2665,6974 1105,,,https://ariahpark-c.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-34.3493,147.2218,invalid,invalid_format
independent,Arise Christian College,Metford,2323,02 4933 7633,office@arisecc.nsw.edu.au,https://www.arisecc.nsw.edu.au/,https://www.maitlandcs.nsw.edu.au/arise-christian-college/,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,-32.8305,151.5312,valid,ok
independent,Arkana College,Kingsgrove,2208,+61 2 9502 3655,,,https://www.arkana.nsw.edu.au,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,-33.9393,151.0993,invalid,invalid_format
government,Armidale City Public School,Armidale,2350,6772 3420,,,https://armidalec-p.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-30.6152,151.7679,invalid,invalid_format
government,Armidale Secondary College,Armidale,2350,02 6776 7400,,,https://armidale-s.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-30.6152,151.7679,invalid,invalid_format
government,Arncliffe Public School,Arncliffe,2205,9567 5060,,,https://arncliffe-p.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-33.9313,151.1522,invalid,invalid_format
government,Arncliffe West Infants School,Arncliffe,2205,9567 7062,,,https://arncliffew-p.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-33.9313,151.1522,invalid,invalid_format
independent,Arndell Anglican College,Oakville,2765,+61 2 4572 3633,enquiries@arndell.nsw.edu.au,https://www.arndell.nsw.edu.au/search,https://www.arndell.nsw.edu.au,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,-33.5922,150.9198,valid,ok
government,Arndell School,North Ryde,2113,9888 3737,,,https://arndell-s.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-33.7956,151.126,invalid,invalid_format
independent,Arrahman College,Austral,2179,+61 2 8107 6000,admin@arrahmancollege.nsw.edu.au,https://arrahmancollege.nsw.edu.au/,https://www.arrahmancollege.nsw.edu.au,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,-33.9698,150.7967,valid,ok
government,Arranounbai School,Frenchs Forest,2086,9452 3168,,,https://arranoun-s.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-33.7482,151.2232,invalid,invalid_format
government,Artarmon Public School,Artarmon,2064,9411 1950,,,https://artarmon-p.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-33.8167,151.1833,invalid,invalid_format
government,Arthur Phillip High School,Parramatta,2150,8855 8100,,,https://arthurphil-h.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-33.8178,151.0035,invalid,invalid_format
independent,Ascham School,Edgecliff,2027,+61 2 8356 7000,,https://www.ascham.nsw.edu.au,https://www.ascham.nsw.edu.au,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,-33.8667,151.25,invalid,invalid_format
government,Ashbury Public School,Ashbury,2193,9798 4509,,,https://ashbury-p.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-33.8978,151.1196,invalid,invalid_format
government,Ashcroft High School,Ashcroft,2168,9607 8011,,,https://ashcroft-h.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-33.9209,150.8847,invalid,invalid_format
government,Ashcroft Public School,Ashcroft,2168,9607 8202,,,https://ashcroft-p.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-33.9209,150.8847,invalid,invalid_format
government,Ashfield Boys High School,Ashfield,2131,9798 6620,,,https://ashfieldbo-h.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-33.8883,151.1227,invalid,invalid_format
government,Ashfield Public School,Ashfield,2131,9798 4400,,,https://ashfield-p.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-33.8883,151.1227,invalid,invalid_format
government,Ashford Central School,Ashford,2361,6725 4101,,,https://ashford-c.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-29.0479,151.2757,invalid,invalid_format
government,Ashmont Public School,Wagga Wagga,2650,6931 4944,,,https://ashmont-p.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-35.4445,147.608,invalid,invalid_format
government,Ashtonfield Public School,Ashtonfield,2323,4934 3584,,,https://ashtonfield-p.schools.nsw.gov.au,https://www.data.nsw.gov.au/data/dataset/nsw-education-nsw-public-schools-master-dataset,2026-02-19,-32.8305,151.5312,invalid,invalid_format
independent,Aspect Central Coast School (Main site),Terrigal,2260,+61 2 4382 8800,,https://www.autismspectrum.org.au/search,https://www.autismspectrum.org.au,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,-33.4155,151.4456,invalid,invalid_format
independent,Aspect Central Coast School Senior College,Terrigal,2260,,,,,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,-33.4155,151.4456,invalid,invalid_format
independent,"Aspect Central Coast School, East Gosford",East Gosford,2250,,,,,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,-33.205,151.1759,invalid,invalid_format
independent,"Aspect Central Coast School, Noraville",Nan,,,,https://www.autismspectrum.org.au/search,https://www.autismspectrum.org.au,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,,,invalid,invalid_format
independent,"Aspect Central Coast School, Tuggerah",Tuggerah,2259,,,,,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,-33.2323,151.4367,invalid,invalid_format
independent,"Aspect Central Coast School, Woy Woy",Woy Woy South,2256,,,,,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,-33.5444,151.3034,invalid,invalid_format
independent,Aspect Hunter School (Main site),Thornton,2322,+61 2 4922 5900,,https://www.autismspectrum.org.au/search,https://www.autismspectrum.org.au,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,-32.7931,151.6769,invalid,invalid_format
independent,"Aspect Hunter School, Abermain",Nan,,,,,,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,,,invalid,invalid_format
independent,"Aspect Hunter School, Muswellbrook",Muswellbrook,2333,,,,,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,-32.3333,150.5667,invalid,invalid_format
independent,"Aspect Hunter School, Port Macquarie High School",Nan,,,,,,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,,,invalid,invalid_format
independent,"Aspect Hunter School, Port Macquarie Primary",Nan,,,,,,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,,,invalid,invalid_format
independent,"Aspect Hunter School, Tarro",Nan,,,,,,https://www.isnsw.edu.au/about-independent-schools-nsw/independent-school-finder,2026-02-19,,,invalid,invalid_format
